EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
09SS20100730,CSIRO,20100809,Charitha Pattiaratchi,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2010_V06,,09SS20100730_report,SS2010_v06,09SS20100730_prof,09SS20100730_uwy,09SS20100730_pig,
09SS20101015,CSIRO,20101031,Martina Doblin,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2010_V09,,09SS20101015_report,SS201009,09SS20101015_prof,09SS20101015_uwy,09SS20101015_pig,
09SS20120811,CSIRO,20120905,Helen Phillips,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2012_V04,,09SS20120811_report,SS2012_v04,09SS20120811_prof,09SS20120811_uwy,09SS20120811_pig,
09SS20120907,CSIRO,20120916,Chris Wilcox,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2012_T06,,09SS20120907_report,SS2012_t06,09SS20120907_prof,09SS20120907_uwy,09SS20120907_pig,
09SS20130704,CSIRO,20130726,Eric Schulz,https://www.cmar.csiro.au/data/trawler/survey_details.cfm?survey=SS2013_V04,,09SS20130704_report,SS2013_v04,09SS20130704_prof,09SS20130704_uwy,09SS20130704_pig,
320619930325,Palmer LTER - NSF,19930515,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,NBP_report,NBP93-02; hplc_mar_93,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,
320619961002    ,Woods Hole Oceanographic Instritution,19961108,Walker Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320619961002_report; NBP_report,nbp96_4A,320619961002_prof,320619961002_uwy,320619961002_fluor; 320619961002_pig,320619961002_poc
320619970113    ,Woods Hole Oceanographic Instritution,19970211,John Marra,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320619970113_report; NBP_report,nbp97_1,320619970113_prof,320619970113_uwy,320619970113_fluor; 320619970113_pig,320619970113_poc
320619970404,Woods Hole Oceanographic Instritution,19970511,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320619970404_report; NBP_report,nbp97_3,320619970404_prof,320619970404_uwy,320619970404_fluor; 320619970404_pig,320619970404_poc
320619971105,Woods Hole Oceanographic Instritution,19971214,Walker Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320619971105_report; NBP_report,nbp97_8,320619971105_prof,320619971105_uwy,320619971105_fluor; 320619971105_pig,320619971105_poc
320619980225,Woods Hole Oceanographic Instritution,199980403,Susumu Honjo,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320619980225_report; NBP_report,nbp98_2; NBP98-2,320619980225_prof,320619980225_uwy,320619980225_pig,
320619990611,Palmer LTER - NSF,19990716,Raymond C. Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP99-06,Iannuzzi 2018,,,
320620010907,Palmer LTER - NSF,20011026,Raymond C. Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP01-05,Iannuzzi 2018,,,
320620060703,Scripps Institute of Oceanography,20060815,Greg B. Mitchell,https://www.usap.gov/usapgov/vesselscienceandoperations/,,NBP_report,nbp0606; NBP06-06,320620060703_prof,,320620060703_pig; 320620060703_poc,320620060703_poc
320620030220,Verginia Institute of Marine Science,20030222,Walker Smith; Vern Asper,https://www.usap.gov/usapgov/vesselscienceandoperations/,,"320620030220_report, MGDS",IVARS; NBP03-1b,,,MAREDAT_1; MAREDAT_2,IVARS_poc
320620031218,Verginia Institute of Marine Science,20040101,Walker Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320620031218_report,IVARS; NBP03-5A,,320620031218_uwy,MAREDAT_1; MAREDAT_2,IVARS_poc
